,dQALY,Centers,"WTP of 1 GDP Per Capita","Base Prime","Prevention 1","Prevention 2",Frontier
,15985,,,,13.035,,
,6442,,,,13.666,,
,21717,,,,13.702,,
,4889,,,,11.177,,
,13688,,,,14.203,,
,10296,,,,14.833,,
,13613,,,,13.407,,
,19156,,,,14.573,,
,15866,,,,10.236,,
,5929,,,,12.323,,
,14784,,,,9.171,,
,4016,,,,10.914,,
,11585,,,,11.95,,
,4466,,,,12.922,,
,11499,,,,13.265,,
,16204,,,,14.731,,
,13693,,,,13.903,,
,10156,,,,14.081,,
,7245,,,,11.015,,
,10366,,,,11.977,,
,16618,,,,10.531,,
,2092,,,,13.888,,
,21981,,,,13.727,,
,9550,,,,11.855,,
,7270,,,,13.369,,
,19533,,,,11.386,,
,9341,,,,12.467,,
,16205,,,,9.118,,
,12225,,,,10.902,,
,9970,,,,13.267,,
,2430,,,,13.101,,
,3083,,,,10.515,,
,5186,,,,12.161,,
,7694,,,,11.452,,
,14510,,,,13.111,,
,12745,,,,13.058,,
,11960,,,,6.513,,
,12854,,,,14.682,,
,11242,,,,14.745,,
,14191,,,,14.883,,
,3125,,,,11.906,,
,2182,,,,13.809,,
,11115,,,,9.757,,
,18417,,,,9.648,,
,8446,,,,10.864,,
,6914,,,,7.877,,
,6666,,,,9.775,,
,12714,,,,13.568,,
,13117,,,,11.834,,
,8661,,,,14.323,,
,9877,,,,8.773,,
,6831,,,,12.731,,
,6650,,,,9.764,,
,10034,,,,10.349,,
,9462,,,,9.996,,
,13067,,,,10.729,,
,13016,,,,14.701,,
,13844,,,,13.917,,
,9000,,,,13.092,,
,11318,,,,13.802,,
,14455,,,,10.663,,
,13051,,,,8.921,,
,17032,,,,14.064,,
,9992,,,,14.132,,
,7207,,,,9.277,,
,11453,,,,12.516,,
,6594,,,,11.539,,
,1485,,,,12.391,,
,7625,,,,12.319,,
,10426,,,,12.775,,
,7401,,,,12.969,,
,5163,,,,10.211,,
,11046,,,,13.571,,
,10832,,,,14.364,,
,8679,,,,9.694,,
,16799,,,,10.547,,
,11140,,,,14.295,,
,11162,,,,9.733,,
,15814,,,,11.368,,
,10992,,,,10.758,,
,20111,,,,12.227,,
,19712,,,,14.084,,
,8720,,,,13.966,,
,5079,,,,11.549,,
,16439,,,,13.623,,
,21808,,,,14.303,,
,6591,,,,13.941,,
,14747,,,,14.62,,
,5449,,,,13.515,,
,8578,,,,10.131,,
,1005,,,,13.968,,
,17564,,,,13.747,,
,15330,,,,10.747,,
,9469,,,,9.372,,
,26695,,,,13.062,,
,9857,,,,8.538,,
,11289,,,,12.273,,
,5413,,,,14.391,,
,16915,,,,14.851,,
,4110,,,,11.726,,
,3885,,,,13.955,,
,10729,,,,12.779,,
,6325,,,,12.318,,
,14734,,,,11.828,,
,4448,,,,11.362,,
,10133,,,,11.873,,
,11784,,,,13.637,,
,8175,,,,14.26,,
,12701,,,,11.61,,
,11865,,,,7.984,,
,11653,,,,8.391,,
,8277,,,,10.853,,
,3808,,,,12.189,,
,8970,,,,9.142,,
,10219,,,,14.304,,
,760,,,,12.741,,
,11563,,,,,9.231,
,14307,,,,,15.021,
,15430,,,,,15.524,
,15155,,,,,14.863,
,13418,,,,,15.448,
,13631,,,,,10.023,
,17585,,,,,15.052,
,22208,,,,,15.137,
,6576,,,,,14.718,
,17572,,,,,14.671,
,10510,,,,,11.637,
,11973,,,,,13.466,
,11707,,,,,14.047,
,15201,,,,,12.258,
,13113,,,,,15.833,
,7804,,,,,13.135,
,16382,,,,,14.996,
,5509,,,,,12.016,
,19208,,,,,14.436,
,14016,,,,,15.085,
,11903,,,,,10.414,
,9474,,,,,11.562,
,7872,,,,,13.945,
,8255,,,,,12.793,
,14583,,,,,13.631,
,8964,,,,,13.855,
,7668,,,,,13.099,
,12560,,,,,15.736,
,17585,,,,,11.143,
,12589,,,,,15.709,
,13484,,,,,14.803,
,10709,,,,,11.031,
,18595,,,,,15.29,
,10829,,,,,15.166,
,6963,,,,,14.431,
,12902,,,,,12.425,
,18755,,,,,11.842,
,9756,,,,,13.476,
,5477,,,,,15.638,
,15428,,,,,10.539,
,16439,,,,,14.854,
,14775,,,,,13.026,
,13584,,,,,15.679,
,11912,,,,,13.367,
,13654,,,,,12.831,
,19599,,,,,13.026,
,14672,,,,,15.36,
,5218,,,,,12.616,
,11613,,,,,11.194,
,17605,,,,,16.132,
,9098,,,,,13.97,
,9565,,,,,14.882,
,17028,,,,,11.601,
,10157,,,,,11.342,
,13791,,,,,11.738,
,12833,,,,,10.949,
,8628,,,,,9.481,
,11819,,,,,13.49,
,9267,,,,,14.362,
,15511,,,,,12.052,
,7710,,,,,13.867,
,12067,,,,,15.454,
,10291,,,,,14.476,
,14698,,,,,15.001,
,14841,,,,,14.979,
,13282,,,,,8.9,
,8199,,,,,14.846,
,15999,,,,,15.015,
,13499,,,,,11.168,
,19298,,,,,15.169,
,6312,,,,,11.295,
,10419,,,,,14.378,
,13241,,,,,15.755,
,8095,,,,,13.583,
,6346,,,,,12.796,
,12102,,,,,15.86,
,6976,,,,,14.608,
,12774,,,,,14.712,
,19497,,,,,12.112,
,10570,,,,,16.22,
,8801,,,,,14.66,
,17715,,,,,15.412,
,13568,,,,,14.436,
,4809,,,,,13.746,
