,dQALY,Centers,"WTP of 1 GDP Per Capita","Base Prime","Prevention 1","Prevention 2",Frontier
,24885,,,,8.82,,
,26647,,,,2.712,,
,13000,,,,7.614,,
,15182,,,,6.493,,
,35239,,,,2.963,,
,20641,,,,4.169,,
,45972,,,,8.245,,
,24914,,,,4.896,,
,15104,,,,7.323,,
,30949,,,,-0.011,,
,1968,,,,11.748,,
,13730,,,,7.2,,
,29407,,,,4.857,,
,16077,,,,7.517,,
,27783,,,,3.998,,
,18056,,,,6.957,,
,28540,,,,3.278,,
,19057,,,,5.47,,
,23670,,,,11.994,,
,33907,,,,4.919,,
,12238,,,,7.508,,
,17430,,,,5.082,,
,18579,,,,9.543,,
,17479,,,,6.107,,
,17366,,,,8.599,,
,6497,,,,10.825,,
,23797,,,,0.935,,
,21953,,,,4.832,,
,26809,,,,4.228,,
,30694,,,,9.988,,
,23849,,,,6.392,,
,4313,,,,12.094,,
,18831,,,,2.608,,
,16939,,,,4.668,,
,34629,,,,8.162,,
,31432,,,,8.185,,
,30878,,,,6.448,,
,33711,,,,9.448,,
,12703,,,,7.687,,
,37166,,,,5.885,,
,21809,,,,6.042,,
,52307,,,,7.658,,
,12975,,,,6.26,,
,42401,,,,-1.6,,
,20247,,,,5.841,,
,20323,,,,7.395,,
,34302,,,,3.322,,
,27181,,,,6.498,,
,22879,,,,6.607,,
,23930,,,,4.203,,
,24373,,,,6.383,,
,19227,,,,3.272,,
,6159,,,,9.496,,
,33602,,,,7.122,,
,21617,,,,6.426,,
,23888,,,,2.666,,
,27428,,,,4.896,,
,23391,,,,3.706,,
,46202,,,,12.648,,
,47279,,,,6.762,,
,13603,,,,8.313,,
,14174,,,,8.136,,
,20861,,,,4.545,,
,23623,,,,4.194,,
,24847,,,,6.949,,
,20806,,,,6.228,,
,29242,,,,7.583,,
,25900,,,,2.632,,
,27882,,,,10.366,,
,43815,,,,7.774,,
,28310,,,,5.92,,
,34627,,,,8.092,,
,26343,,,,10.813,,
,28397,,,,3.628,,
,14635,,,,7.394,,
,23854,,,,2.071,,
,15880,,,,3.557,,
,26162,,,,9.883,,
,17451,,,,5.483,,
,26635,,,,5.697,,
,24235,,,,3.328,,
,27066,,,,6.966,,
,11205,,,,7.091,,
,29482,,,,6.595,,
,17224,,,,6.39,,
,29878,,,,11.492,,
,23128,,,,6.047,,
,9595,,,,8.375,,
,32369,,,,,4.163,
,31167,,,,,7.797,
,28689,,,,,3.115,
,14878,,,,,2.702,
,25225,,,,,6.506,
,36801,,,,,5.937,
,34157,,,,,7.153,
,27646,,,,,7.747,
,38267,,,,,6.212,
,17825,,,,,7.487,
,20007,,,,,4.077,
,40680,,,,,6.763,
,33835,,,,,8.13,
,32405,,,,,6.323,
,31516,,,,,7.465,
,34667,,,,,4.186,
,25480,,,,,7.63,
,22799,,,,,0.064,
,26323,,,,,4.982,
,25202,,,,,6.881,
,27573,,,,,2.577,
,18636,,,,,1.537,
,33920,,,,,5.74,
,33024,,,,,7.952,
,27057,,,,,9.895,
,35801,,,,,4.998,
,28244,,,,,6.159,
,20343,,,,,6.133,
,46553,,,,,10.19,
,17531,,,,,1.966,
,22451,,,,,7.273,
,26799,,,,,4.442,
,36826,,,,,5.171,
,37161,,,,,8.531,
,23781,,,,,6.057,
,32781,,,,,6.324,
,26564,,,,,5.806,
,23413,,,,,6.946,
,30005,,,,,7.546,
,24695,,,,,-0.354,
,27560,,,,,6.488,
,27564,,,,,6.57,
,18683,,,,,8.165,
,30407,,,,,9.531,
,29555,,,,,9.442,
,37178,,,,,4.683,
,26682,,,,,2.638,
,27513,,,,,5.21,
,19425,,,,,3.05,
,30443,,,,,8.333,
,31665,,,,,9.679,
,19344,,,,,7.164,
,28231,,,,,4.529,
,24872,,,,,6.865,
,24565,,,,,10.482,
,20778,,,,,8.561,
,15706,,,,,8.901,
,29040,,,,,-0.557,
,22268,,,,,6.197,
,16076,,,,,8.935,
,31495,,,,,7.049,
,21487,,,,,11.643,
,27159,,,,,3.485,
,32191,,,,,3.487,
,29099,,,,,5.987,
,22940,,,,,3.06,
,33621,,,,,4.4,
,26803,,,,,4.462,
,27264,,,,,6.116,
,3415,,,,,13.569,
,16523,,,,,6.714,
,26886,,,,,5.701,
,48445,,,,,9.093,
,18481,,,,,8.751,
,29601,,,,,3.199,
,24708,,,,,9.887,
,23533,,,,,5.635,
,19753,,,,,3.297,
,19111,,,,,6.85,
,21016,,,,,6.128,
,25643,,,,,1.794,
,13826,,,,,6.158,
,25170,,,,,5.327,
,26120,,,,,7.872,
,38671,,,,,10.066,
,33514,,,,,5.745,
,27080,,,,,7.197,
,38641,,,,,10.143,
,15488,,,,,8.37,
,27160,,,,,4.921,
,41582,,,,,11.558,
,29656,,,,,11.627,
,31270,,,,,8.579,
,16168,,,,,8.172,
,18811,,,,,4.225,
,24548,,,,,10.124,
,37897,,,,,5.322,
,32448,,,,,9.672,
,9114,,,,,10.981,
,22167,,,,,6.851,
,19666,,,,,6.991,
,25375,,,,,8.691,
,23555,,,,,9.404,
,32653,,,,,5.841,
,44042,,,,,11.306,
,24137,,,,,7.522,
,20022,,,,,8.146,
,24494,,,,,6.217,
,12140,,,,,7.471,
,33564,,,,,9.708,
,19695,,,,,6.39,
,36894,,,,,10.887,
,37037,,,,,7.254,
,22793,,,,,8.85,
,5590,,,,,13.32,
,27276,,,,,5.143,
,32238,,,,,10.278,
,24089,,,,,4.309,
,22825,,,,,10.738,
,30103,,,,,9.233,
,13258,,,,,8.817,
,30650,,,,,4.461,
,25529,,,,,6.237,
,23593,,,,,7.119,
,33391,,,,,7.747,
,27556,,,,,6.208,
,43903,,,,,8.599,
,23687,,,,,4.991,
,34348,,,,,5.349,
,7487,,,,,10.198,
,17959,,,,,9.423,
,9668,,,,,13.668,
,25595,,,,,4.634,
,44415,,,,,5.23,
,19029,,,,,5.248,
,28248,,,,,5.391,
,23183,,,,,-0.68,
,21473,,,,,5.62,
,18008,,,,,2.168,
,5117,,,,,12.078,
,32183,,,,,8.507,
,18947,,,,,2.368,
,29255,,,,,10.297,
,25654,,,,,6.713,
,28189,,,,,5.08,
,23048,,,,,2.66,
,13744,,,,,8.828,
,29391,,,,,6.505,
,30142,,,,,8.31,
,29102,,,,,3.657,
,33730,,,,,7.683,
,20251,,,,,8.075,
,16957,,,,,8.605,
,18801,,,,,6.748,
,22552,,,,,6.109,
,32087,,,,,7.885,
,36160,,,,,6.378,
,34222,,,,,3.684,
,18892,,,,,5.393,
,21429,,,,,10.981,
,39852,,,,,6.739,
,24057,,,,,7.295,
,25001,,,,,9.949,
,26684,,,,,3.846,
,13012,,,,,8.747,
,15200,,,,,7.63,
,38636,,,,,4.067,
,20892,,,,,5.301,
,47254,,,,,9.362,
,27874,,,,,5.998,
,15118,,,,,8.452,
,30983,,,,,1.117,
,1968,,,,,12.878,
,13757,,,,,8.327,
,30419,,,,,5.446,
,16133,,,,,8.639,
,27784,,,,,5.123,
,20228,,,,,8.181,
,35983,,,,,4.336,
,19433,,,,,6.601,
,24948,,,,,13.132,
,33919,,,,,6.045,
,12255,,,,,8.63,
,17433,,,,,6.212,
,22690,,,,,10.901,
,17560,,,,,7.231,
,17367,,,,,9.731,
,6503,,,,,11.953,
,23804,,,,,2.071,
,27259,,,,,5.536,
,26962,,,,,5.358,
,30850,,,,,11.114,
,30162,,,,,7.418,
,4318,,,,,13.223,
,18942,,,,,3.733,
,17194,,,,,5.789,
,34836,,,,,9.287,
,33988,,,,,9.284,
,30884,,,,,7.583,
,31266,,,,,9.877,
,12703,,,,,8.815,
,37253,,,,,7.018,
,21991,,,,,7.178,
,52311,,,,,8.79,
,12995,,,,,7.396,
,42481,,,,,-0.475,
,22799,,,,,6.718,
,22273,,,,,8.51,
,35535,,,,,4.437,
,28289,,,,,7.616,
,25286,,,,,7.62,
,27745,,,,,5.463,
,37353,,,,,7.228,
,19247,,,,,4.398,
,6169,,,,,10.628,
,40862,,,,,5.629,
,21747,,,,,7.558,
,23938,,,,,3.789,
,27448,,,,,6.019,
,23430,,,,,4.839,
,46509,,,,,13.772,
,47564,,,,,7.893,
,13607,,,,,9.448,
,14196,,,,,9.272,
,20866,,,,,5.677,
,23655,,,,,5.327,
,24964,,,,,8.079,
,20961,,,,,7.356,
,32439,,,,,7.431,
,29182,,,,,3.62,
,28143,,,,,11.491,
,44212,,,,,8.903,
,21877,,,,,8.774,
,34788,,,,,9.218,
,29338,,,,,11.902,
,31121,,,,,4.657,
,19461,,,,,9.282,
,23854,,,,,3.2,
,18236,,,,,4.701,
,26185,,,,,11.011,
,17460,,,,,6.611,
,26710,,,,,6.827,
,27121,,,,,4.415,
,27066,,,,,8.093,
,11236,,,,,8.22,
,29546,,,,,7.72,
,21124,,,,,7.493,
,32059,,,,,12.603,
,23139,,,,,7.175,
,9616,,,,,9.506,
,54897,,,,,,
,53296,,,,,,
,54301,,,,,,
,40754,,,,,,
,42160,,,,,,
,67231,,,,,,
,58473,,,,,,
,48078,,,,,,
,45594,,,,,,
,34433,,,,,,
,41546,,,,,,
,50771,,,,,,
,42798,,,,,,
,47209,,,,,,
,56389,,,,,,
,36143,,,,,,
,37666,,,,,,
,10574,,,,,,
,45165,,,,,,
,36352,,,,,,
,40579,,,,,,
,53174,,,,,,
,37670,,,,,,
,14036,,,,,,
,67758,,,,,,
,65145,,,,,,
,57601,,,,,,
,51854,,,,,,
,6194,,,,,,
,42644,,,,,,
,42842,,,,,,
,45728,,,,,,
,45437,,,,,,
,47629,,,,,,
,21613,,,,,,
,52721,,,,,,
,72475,,,,,,
,37692,,,,,,
,35031,,,,,,
,30770,,,,,,
,35043,,,,,,
,38377,,,,,,
,41046,,,,,,
,43147,,,,,,
,60592,,,,,,
,80805,,,,,,
,38188,,,,,,
,54382,,,,,,
,33163,,,,,,
,65481,,,,,,
,27484,,,,,,
,57586,,,,,,
,71406,,,,,,
,52459,,,,,,
,30473,,,,,,
,41379,,,,,,
,31774,,,,,,
,34369,,,,,,
,49872,,,,,,
,31618,,,,,,
,57025,,,,,,
,49378,,,,,,
,74967,,,,,,
,40169,,,,,,
,41985,,,,,,
,30781,,,,,,
,49400,,,,,,
,35652,,,,,,
,28207,,,,,,
,64848,,,,,,
,54560,,,,,,
,65424,,,,,,
,48768,,,,,,
,63303,,,,,,
,36692,,,,,,
,47630,,,,,,
,74527,,,,,,
,50754,,,,,,
,72393,,,,,,
,54128,,,,,,
,47231,,,,,,
,50308,,,,,,
,54382,,,,,,
,40396,,,,,,
,37898,,,,,,
,37249,,,,,,
,21269,,,,,,
,45498,,,,,,
,31816,,,,,,
,19072,,,,,,
,25745,,,,,,
,45451,,,,,,
,22137,,,,,,
,42905,,,,,,
,27047,,,,,,
,53217,,,,,,
,43059,,,,,,
,74068,,,,,,
,45795,,,,,,
,32373,,,,,,
,46182,,,,,,
,44806,,,,,,
,42829,,,,,,
,24870,,,,,,
,30652,,,,,,
,42497,,,,,,
,85989,,,,,,
,52870,,,,,,
,43197,,,,,,
,28387,,,,,,
,31048,,,,,,
,38140,,,,,,
,51406,,,,,,
,47920,,,,,,
,37992,,,,,,
,29760,,,,,,
,43218,,,,,,
,36213,,,,,,
,47445,,,,,,
,51469,,,,,,
,33740,,,,,,
,40426,,,,,,
,43754,,,,,,
,41072,,,,,,
,24866,,,,,,
,51080,,,,,,
,39780,,,,,,
,49763,,,,,,
,56903,,,,,,
,63253,,,,,,
,47739,,,,,,
,42316,,,,,,
,53476,,,,,,
,47287,,,,,,
,31706,,,,,,
,55427,,,,,,
,47158,,,,,,
,62066,,,,,,
,25056,,,,,,
,23201,,,,,,
,69912,,,,,,
,8791,,,,,,
,41945,,,,,,
,32341,,,,,,
,62305,,,,,,
,43595,,,,,,
,33319,,,,,,
,71697,,,,,,
,62663,,,,,,
,39507,,,,,,
,31891,,,,,,
,30387,,,,,,
,13907,,,,,,
,56464,,,,,,
,45044,,,,,,
,34593,,,,,,
,33545,,,,,,
,39698,,,,,,
,42019,,,,,,
,29533,,,,,,
,82307,,,,,,
,37896,,,,,,
,44649,,,,,,
,30903,,,,,,
,31432,,,,,,
,44767,,,,,,
,31057,,,,,,
,46622,,,,,,
,38553,,,,,,
,50845,,,,,,
,35828,,,,,,
,42371,,,,,,
,38365,,,,,,
,42392,,,,,,
,35319,,,,,,
,48263,,,,,,
,37470,,,,,,
,55953,,,,,,
,42502,,,,,,
,13827,,,,,,
,21936,,,,,,
,80790,,,,,,
,15755,,,,,,
,68070,,,,,,
,50663,,,,,,
,60887,,,,,,
,50339,,,,,,
,31502,,,,,,
,42093,,,,,,
,44994,,,,,,
,9124,,,,,,
,38991,,,,,,
,20339,,,,,,
,34227,,,,,,
,54787,,,,,,
,18711,,,,,,
,33715,,,,,,
,43691,,,,,,
,47247,,,,,,
,56895,,,,,,
,27878,,,,,,
,60171,,,,,,
,29065,,,,,,
,51990,,,,,,
,56417,,,,,,
,44179,,,,,,
,35615,,,,,,
,40436,,,,,,
,32732,,,,,,
,26526,,,,,,
,41480,,,,,,
,32442,,,,,,
,56014,,,,,,
,55047,,,,,,
,39084,,,,,,
,54119,,,,,,
,37850,,,,,,
,65224,,,,,,
,71507,,,,,,
,28478,,,,,,
,34097,,,,,,
,40336,,,,,,
,39433,,,,,,
,18235,,,,,,
,78432,,,,,,
,38640,,,,,,
,51700,,,,,,
,56532,,,,,,
,45860,,,,,,
,44243,,,,,,
,41203,,,,,,
,47761,,,,,,
,52061,,,,,,
,22738,,,,,,
,31896,,,,,,
,37251,,,,,,
,56969,,,,,,
,36673,,,,,,
,34430,,,,,,
,43777,,,,,,
,61830,,,,,,
,22051,,,,,,
,67500,,,,,,
,48579,,,,,,
,29195,,,,,,
,51009,,,,,,
,58794,,,,,,
,19331,,,,,,
,54748,,,,,,
,48920,,,,,,
