"Careful Sex, 15-19","Careful Sex, 20-24","Careful Sex, 25-29","Careful Sex, 30-34","Careful Sex, 35-39","Careful Sex, 40- 44","Unsafe Sex, 15-19","Unsafe Sex, 20-24","Unsafe Sex, 25-29","Unsafe Sex, 30-34","Unsafe Sex, 35-39","Unsafe Sex, 40-44",Seeking Pregnancy,Pregnant
10,2,4,2,8,16,,,,,,,0,2
3,2,1,12,0,1,,,,,,,8,0
8,7,2,6,20,0,,,,,,,1,1
2,5,7,0,1,5,,,,,,,1,0
30,0,28,5,10,3,,,,,,,12,6
0,2,2,20,15,6,,,,,,,8,5
4,1,0,8,4,3,,,,,,,14,0
15,20,2,0,3,4,,,,,,,0,2
6,1,5,1,3,1,,,,,,,12,4
4,4,6,10,3,1,,,,,,,7,0
1,15,3,0,4,1,,,,,,,30,0
1,0,1,6,1,2,,,,,,,5,2
2,3,0,3,4,3,,,,,,,28,1
0,1,15,2,10,20,,,,,,,8,3
3,5,4,5,4,2,,,,,,,3,10
14,8,7,4,5,2,,,,,,,0,0
4,2,0,4,3,0,,,,,,,3,2
2,15,21,10,1,0,,,,,,,6,10
2,1,1,2,4,5,,,,,,,10,7
2,0,5,2,12,10,,,,,,,0,1
2,2,3,2,4,6,,,,,,,8,0
0,1,2,0,0,12,,,,,,,4,3
6,0,7,3,13,0,,,,,,,1,5
2,0,3,0,4,2,,,,,,,25,12
2,20,5,0,0,4,,,,,,,20,0
1,5,8,10,2,4,,,,,,,2,10
1,0,2,1,6,20,,,,,,,0,1
5,20,1,8,3,1,,,,,,,2,0
2,2,5,1,3,8,,,,,,,4,7
2,28,1,0,5,12,,,,,,,8,5
1,8,1,0,6,20,,,,,,,4,10
0,10,3,26,0,5,,,,,,,15,5
0,0,6,12,15,12,,,,,,,0,0
0,0,8,0,2,12,,,,,,,,1
10,5,2,8,0,4,,,,,,,2,3
5,12,10,0,6,4,,,,,,,0,4
4,10,15,30,12,6,,,,,,,6,1
0,4,4,3,0,4,,,,,,,6,0
8,5,1,8,15,8,,,,,,,3,3
2,8,0,10,6,4,,,,,,,10,0
1,10,3,20,4,1,,,,,,,0,0
0,4,2,3,10,6,,,,,,,4,4
