"Sexually Inactive, 15-20","Sexually Inactive, 21-26","Sexually Inactive, 27-32","Sexually Inactive, 33-38","Sexually Inactive, 39-42","Careful Sex, 15-20","Careful Sex, 21-26","Careful Sex, 27-32","Careful Sex, 33-38","Careful Sex, 39-42","Unsafe Sex, 15-20","Unsafe Sex, 21-26","Unsafe Sex, 27-32","Unsafe Sex, 33-38","Unsafe Sex, 39-42",Seeking Pregnancy,Pregnant
0,,,,,1,4,0,1,0,,,,,,,
0,,,,,0,0,2,5,1,,,,,,,
0,,,,,5,7,7,3,3,,,,,,,
1,,,,,1,0,7,2,0,,,,,,,
0,,,,,7,2,4,5,4,,,,,,,
0,,,,,2,1,6,2,0,,,,,,,
0,,,,,1,2,3,1,1,,,,,,,
0,,,,,4,3,8,2,2,,,,,,,
4,,,,,5,5,7,0,3,,,,,,,
1,,,,,3,2,2,8,7,,,,,,,
0,,,,,3,10,0,0,3,,,,,,,
1,,,,,0,4,2,0,0,,,,,,,
0,,,,,0,5,5,0,0,,,,,,,
0,,,,,20,2,0,0,2,,,,,,,
0,,,,,0,1,0,2,15,,,,,,,
0,,,,,2,4,1,3,0,,,,,,,
2,,,,,0,5,2,0,1,,,,,,,
0,,,,,0,3,1,5,0,,,,,,,
0,,,,,1,3,6,0,7,,,,,,,
0,,,,,1,2,0,15,1,,,,,,,
0,,,,,4,3,0,1,1,,,,,,,
0,,,,,4,3,2,2,7,,,,,,,
0,,,,,4,2,0,4,1,,,,,,,
0,,,,,1,3,4,0,1,,,,,,,
0,,,,,0,6,0,0,2,,,,,,,
7,,,,,3,2,27,2,5,,,,,,,
0,,,,,0,0,1,3,3,,,,,,,
1,,,,,0,4,0,6,0,,,,,,,
0,,,,,0,15,0,4,1,,,,,,,
1,,,,,3,2,4,1,12,,,,,,,
1,,,,,4,30,3,,2,,,,,,,
0,,,,,2,15,6,0,2,,,,,,,
0,,,,,0,2,2,1,8,,,,,,,
0,,,,,1,2,3,5,2,,,,,,,
2,,,,,,2,2,0,0,,,,,,,
0,,,,,,4,0,7,8,,,,,,,
1,,,,,,1,5,3,6,,,,,,,
0,,,,,,5,,,,,,,,,,
0,,,,,,0,1,0,4,,,,,,,
1,,,,,,6,1,29,1,,,,,,,
4,,,,,,0,4,0,0,,,,,,,
0,,,,,,6,5,0,2,,,,,,,
0,,,,,,15,2,1,3,,,,,,,
0,,,,,,0,0,0,1,,,,,,,
0,,,,,,0,2,0,1,,,,,,,
0,,,,,,0,1,0,3,,,,,,,
0,,,,,,2,0,0,0,,,,,,,
0,,,,,,0,3,0,1,,,,,,,
1,,,,,,8,5,0,15,,,,,,,
6,,,,,,1,0,10,0,,,,,,,
0,,,,,,0,1,10,14,,,,,,,
0,,,,,,0,2,7,0,,,,,,,
0,,,,,,5,25,0,2,,,,,,,
0,,,,,,2,0,0,0,,,,,,,
0,,,,,,0,0,2,3,,,,,,,
0,,,,,,2,0,0,2,,,,,,,
0,,,,,,5,3,10,0,,,,,,,
0,,,,,,0,15,2,4,,,,,,,
0,,,,,,1,10,0,0,,,,,,,
3,,,,,,8,0,0,3,,,,,,,
0,,,,,,5,6,1,5,,,,,,,
0,,,,,,5,1,2,0,,,,,,,
3,,,,,,1,1,0,1,,,,,,,
2,,,,,,4,2,6,0,,,,,,,
0,,,,,,1,2,2,0,,,,,,,
1,,,,,,0,3,0,0,,,,,,,
0,,,,,,0,0,4,2,,,,,,,
0,,,,,,3,1,8,3,,,,,,,
0,,,,,,1,0,0,5,,,,,,,
0,,,,,,0,0,4,2,,,,,,,
1,,,,,,2,1,0,1,,,,,,,
,,,,,,3,0,0,25,,,,,,,
0,,,,,,5,0,0,2,,,,,,,
0,,,,,,1,3,2,0,,,,,,,
0,,,,,,3,5,7,7,,,,,,,
0,,,,,,0,1,2,3,,,,,,,
0,,,,,,0,2,2,0,,,,,,,
0,,,,,,0,2,0,0,,,,,,,
1,,,,,,3,0,0,0,,,,,,,
0,,,,,,3,2,2,0,,,,,,,
0,,,,,,3,15,0,1,,,,,,,
0,,,,,,1,4,1,0,,,,,,,
0,,,,,,3,5,1,1,,,,,,,
3,,,,,,15,5,0,1,,,,,,,
0,,,,,,2,1,2,1,,,,,,,
2,,,,,,4,20,2,6,,,,,,,
0,,,,,,3,1,6,4,,,,,,,
0,,,,,,2,0,0,3,,,,,,,
0,,,,,,4,2,0,0,,,,,,,
0,,,,,,30,0,30,0,,,,,,,
0,,,,,,5,0,0,4,,,,,,,
0,,,,,,0,1,2,20,,,,,,,
1,,,,,,1,1,0,0,,,,,,,
0,,,,,,3,3,2,0,,,,,,,
0,,,,,,1,3,0,5,,,,,,,
0,,,,,,0,20,0,3,,,,,,,
0,,,,,,4,0,1,1,,,,,,,
2,,,,,,1,0,0,0,,,,,,,
0,,,,,,4,2,1,2,,,,,,,
0,,,,,,2,0,2,0,,,,,,,
0,,,,,,5,3,5,0,,,,,,,
0,,,,,,1,1,0,1,,,,,,,
0,,,,,,2,4,0,2,,,,,,,
0,,,,,,3,1,0,0,,,,,,,
2,,,,,,4,0,30,0,,,,,,,
2,,,,,,1,0,5,2,,,,,,,
0,,,,,,0,1,4,2,,,,,,,
1,,,,,,2,1,3,2,,,,,,,
0,,,,,,7,0,0,1,,,,,,,
0,,,,,,0,4,0,1,,,,,,,
0,,,,,,8,0,1,2,,,,,,,
0,,,,,,0,1,,1,,,,,,,
0,,,,,,0,0,1,2,,,,,,,
0,,,,,,3,5,0,5,,,,,,,
0,,,,,,0,2,2,2,,,,,,,
0,,,,,,0,0,2,0,,,,,,,
5,,,,,,2,2,0,10,,,,,,,
0,,,,,,20,2,1,1,,,,,,,
0,,,,,,7,0,1,0,,,,,,,
0,,,,,,1,1,0,3,,,,,,,
0,,,,,,3,2,1,3,,,,,,,
0,,,,,,4,2,3,1,,,,,,,
0,,,,,,0,0,0,2,,,,,,,
0,,,,,,4,2,4,0,,,,,,,
0,,,,,,3,0,2,2,,,,,,,
0,,,,,,1,4,7,0,,,,,,,
1,,,,,,0,0,0,2,,,,,,,
0,,,,,,6,4,2,2,,,,,,,
3,,,,,,1,0,0,0,,,,,,,
0,,,,,,3,5,3,0,,,,,,,
1,,,,,,4,0,0,4,,,,,,,
0,,,,,,0,1,3,4,,,,,,,
0,,,,,,1,0,2,2,,,,,,,
0,,,,,,0,0,4,4,,,,,,,
3,,,,,,4,1,1,0,,,,,,,
0,,,,,,6,0,1,0,,,,,,,
2,,,,,,2,0,0,7,,,,,,,
0,,,,,,3,1,1,0,,,,,,,
4,,,,,,2,3,0,5,,,,,,,
,,,,,,5,5,0,4,,,,,,,
0,,,,,,0,0,0,4,,,,,,,
0,,,,,,2,2,1,0,,,,,,,
0,,,,,,1,0,7,0,,,,,,,
2,,,,,,1,0,2,0,,,,,,,
0,,,,,,1,1,3,4,,,,,,,
0,,,,,,3,0,2,0,,,,,,,
0,,,,,,5,0,0,0,,,,,,,
0,,,,,,2,5,0,1,,,,,,,
0,,,,,,15,10,8,2,,,,,,,
0,,,,,,1,2,10,1,,,,,,,
2,,,,,,,20,2,0,,,,,,,
0,,,,,,25,0,1,3,,,,,,,
