"Prevention 2","Prevention 1","Base Prime",Base,"No Additional Intervention"
0,0,3652.492,7163.121,8996
0,2.013915,7991.75,9712.105,17726
0,0,408.1323,2498.085,8114
0,0,35.55899,391.7555,1203
0,0,9.553162,183.0099,526
0,0,37.15118,5602.962,10357
0,0,74.8331,9394.698,13006
0,0,41.39703,1377.721,4289
0,0,140.113,2857.242,10616
0,0,298.8017,7185.425,13816
0,0,332.2377,9805.326,10872
0,0,38.74338,835.5545,1035
0,0,29.19022,1015.133,1201
0,0,22.82144,3025.954,4113
0,0,23.8829,6569.483,9363
0,0,152.8506,18361.61,29730
0,0,367.266,4356.207,13037
0,0,104.554,620.5179,1842
0,0,49.358,302.5382,796
0,0,577.4356,7911.174,14842
0,0,1357.08,15742.85,19300
0,0,869.8684,3034.533,6493
0,0,3020.391,6355.59,16210
0,0,6139.499,12012.31,20830
0,0,5561.002,15069.15,16455
0,0,471.2893,1445.778,1538
85.32521,172.5661,1930.045,2338.925,3054
45.50678,116.2717,2544.746,3442.468,4495
16.433,49.45492,1946.815,3035.557,3963
69.52424,306.7257,6264.918,8953.673,13844
23.38543,96.27927,850.5196,791.0353,2073
196.564,869.144,3074.028,3013.313,8551
26.54562,124.6895,320.7135,373.8157,883
423.4659,1313.186,1934.238,4419.055,6836
175.0747,427.2064,528.234,1578.815,1891
398.1843,726.0404,896.1112,3369.767,3611
681.9696,940.1697,1069.569,4618.17,5330
260.3999,303.569,353.2041,1461.625,1742
3535.624,3300.853,3902.538,11012.1,16630
356.4698,286.2072,360.5407,371.103,1118
4400.253,3410.811,3920.356,2382.872,10733
8004.769,6452.289,6842.412,5740.16,14855
4165.766,3510.773,3654.667,5817.202,8027
8974.948,7766.001,7955.476,15209.8,19354
1216.042,1026.979,1087.386,1368.849,2773
4184.095,3524.452,3655.715,5141.187,12341
406.4008,331.9793,379.4062,630.441,1302
2464.951,2077.107,2135.47,6890.905,10671
714.8356,587.1457,573.3016,2294.436,3029
1068.145,934.9085,941.7029,4909.519,5646
1562.399,1190.075,1300.147,6953.298,8107
504.9988,432.4675,408.2285,2195.15,2588
6009.423,4808.702,5140.849,16450.06,25153
566.3066,501.3887,468.4932,530.6121,1725
6693.289,5556.839,5638.164,3658.402,16288
12664.16,10649.12,10550.53,8583.112,22331
18.22041,65.33644,5295.61,5835.423,9244
2.846938,17.08142,740.8654,1053.138,4508
3.416326,42.27652,1885.586,3766.552,12812
5.693877,29.46545,975.7513,3253.891,6215
0.569388,14.51921,396.8922,2124.5,2909
0,0.427036,19.03226,137.1574,181
0.569388,18.36253,817.9229,8294.184,11647
3.416326,34.58988,1150.291,1807.983,9391
