"Elimination 2","Elimination 1","Base Prime",Base,"No Intervention"
0.369309,1.382945,182.4599,515.3257,567
0.369309,2.765891,369.6385,1131.068,1149
1.846547,24.54728,2431.749,6836.065,7902
0,2.074418,226.1087,264.8355,642
2.215856,15.2124,1059.368,866.9683,2476
5.908949,87.47129,2092.39,1580.921,4688
1.107928,7.606199,181.2802,149.3378,383
9.602042,117.2046,1371.988,1940.288,3533
4.431712,42.17983,458.9023,893.8197,1214
5.17033,47.02014,303.5754,925.085,1084
40.62402,318.7689,1414.457,6665.761,5915
2.215856,34.91937,117.1833,587.7876,491
40.25471,348.1565,923.703,4523.537,4252
51.7033,364.4061,727.48,3056.643,3111
15.51099,99.9178,184.0328,787.5177,838
35.823,233.0263,336.2137,1714.074,1872
399.5927,1996.973,2552.079,10351.76,12196
53.18054,231.9891,254.0282,400.1958,946
342.719,1030.986,1191.101,1411.352,3715
90.55064,171.0986,305.9967,296.4949,377
8.231877,8.212733,24.5509,23.24282,30
9.878252,47.90761,257.9624,259.2468,329
6.585501,15.05668,158.6913,188.9224,240
6.585501,42.43245,788.8311,1210.414,1538
9.878252,17.79425,1377.341,2647.297,3364
0,12.3191,694.1856,1428.837,1816
1.646375,15.05668,1206.908,2786.456,3541
1.646375,8.212733,1063.872,2681.268,3408
0,1.368789,99.98266,261.3327,332
3.292751,9.581521,834.3748,2898.797,3684
0,1.368789,98.55942,407.0473,517
0,5.475155,576.0567,2933.363,3728
0,0,131.294,753.6037,958
0,0,76.49919,575.7067,732
0,0,6.048773,50.06146,64
0,0,50.16923,716.6536,911
0,0,24.90671,592.6919,753
0,0,119.908,3799.903,4829
0,0,177.5493,6447.2,8245
0,0,76.855,2772.749,3679
0,0,143.7473,4495.4,6043
0,0,125.601,3704.25,5025
0,0,14.58822,354.304,497
0,0,119.5522,3969.754,5154
0,0,9.962685,542.6304,703
0,0,75.43176,4056.17,5213
0,0,16.36727,1056.654,1349
0,0,13.16498,822.4382,1114
0,0,0.35581,65.25868,86
103.786,182.5886,490.6336,453.0875,501
30.60355,91.29429,867.1358,853.0921,943
0,7.430931,116.755,118.1521,131
1.330589,26.53904,1722.028,2556.879,2833
1.330589,19.10811,2117.333,3328.463,3781
0,10.61562,2645.573,3759.975,4319
0,2.123123,609.1378,848.64,1000
0,6.369369,1122.947,1807.213,2194
0,0,384.3734,761.3102,893
0,0,6.996557,14.04126,13
0,0,4.810133,7.534334,9
0,0,9.182981,81.16533,106
0,0,0,0,0
0,0,0.87457,10.27409,14
0,0,0,39.38402,38
0,0,2.623709,691.7889,806
0,0,0,222.2629,262
0,0,6.559272,9605.933,12922
0,0,6.559272,2281.191,9168
0,0,18.80325,1548.306,5849
0,0,5.684703,323.6339,1086
0,0,20.1151,760.6253,2011
0,0,6.996557,428.0872,864
0,0,0,7.191864,13
0,0,0,5.137046,8
0,0,0,63.3569,115
0,0,0,1.369879,0
0,0,0,7.191864,11
0,0,0,27.05511,37
0,0,0,595.2124,872
