"","letter1","letter2","frequency"
"590","R","W",359714599
"591","S","W",663415953
"592","T","W",2322619238
"593","U","W",7824504
"594","V","W",742188
"595","W","W",7377619
"596","X","W",6292525
"597","Y","W",95070267
"598","Z","W",6279286
"599","A","X",531206960
"600","B","X",778622
"601","C","X",876736
"602","D","X",1296277
"603","E","X",6035335807
"604","F","X",812116
"605","G","X",557030
"606","H","X",263997
"607","I","X",621227893
"608","J","X",161750
"609","K","X",555422
"610","L","X",8612462
"611","M","X",994334
"612","N","X",73899576
"613","O","X",523764012
"614","P","X",1473468
"615","Q","X",159505
"616","R","X",32990613
"617","S","X",503772
"618","T","X",3328898
"619","U","X",110947766
"620","V","X",449854
"621","W","X",150637
"622","X","X",79068246
"623","Y","X",4211192
"624","Z","X",108224
"625","A","Y",6128842727
"626","B","Y",4975814759
"627","C","Y",1176324279
"628","D","Y",1421751251
"629","E","Y",4053144855
"630","F","Y",256535008
"631","G","Y",731420025
"632","H","Y",1412343465
"633","I","Y",6247588
"634","J","Y",1120221
"635","K","Y",167761726
"636","L","Y",11983948242
"637","M","Y",1753447198
"638","N","Y",2760941827
"639","O","Y",1020190223
"640","P","Y",331698156
"641","Q","Y",0
"642","R","Y",6985436186
"643","S","Y",1602829285
"644","T","Y",6408447994
"645","U","Y",128782521
"646","V","Y",138085211
"647","W","Y",68368953
"648","X","Y",72645837
"649","Y","Y",1993017
"650","Z","Y",66473188
"651","A","Z",334669428
"652","B","Z",1007374
"653","C","Z",20601701
"654","D","Z",2200704
"655","E","Z",127540198
"656","F","Z",263860
"657","G","Z",3431194
"658","H","Z",10729982
"659","I","Z",1814164135
"660","J","Z",220675
"661","K","Z",150760
"662","L","Z",11767790
"663","M","Z",970282
"664","N","Z",123192934
"665","O","Z",97904996
"666","P","Z",6382200
"667","Q","Z",0
"668","R","Z",17993128
"669","S","Z",7041052
"670","T","Z",108527540
"671","U","Z",53873803
"672","V","Z",501189
"673","W","Z",0
"674","X","Z",136521
"675","Y","Z",51097953
"676","Z","Z",75012595
